200_4: 49, 81696.93, 84631.25, 3609.60, subproblem = 1, timelimit = 3600
200_1: 48, 76125.24, 78512.42, 3609.07, subproblem = 1, timelimit = 3600
200_2: 46, 71075.99, 71940.92, 3605.35, subproblem = 1, timelimit = 3600
200_3: 46, 71600.11, 72482.85, 3604.60, subproblem = 1, timelimit = 3600
400_3: 84, 120065.47, 123138.26, 10734.00, subproblem = 1, timelimit = 10800
400_4: 90, 137863.84, 141825.04, 10813.89, subproblem = 1, timelimit = 10800
400_2: 92, 138520.94, 141625.25, 10813.94, subproblem = 1, timelimit = 10800
400_1: 95, 143045.76, 146142.97, 10822.74, subproblem = 1, timelimit = 10800
600_3: 124, 173106.97, 176575.91, 15701.68, subproblem = 1, timelimit = 18000
1000_4: 211, 323800.65, 348850.94, 32439.96, subproblem = 1, timelimit = 32400
1000_3: 209, 291180.28, 325115.80, 32426.36, subproblem = 1, timelimit = 32400
1000_1: 216, 329294.59, 364281.34, 32456.41, subproblem = 1, timelimit = 32400
1000_1: 216, 327562.85, 358746.13, 32482.04, subproblem = 1, timelimit = 32400
1000_4: 211, 322355.54, 344504.85, 32478.01, subproblem = 1, timelimit = 32400
1000_2: 222, 332560.65, 367663.80, 32470.13, subproblem = 1, timelimit = 32400
1000_3: 209, 291415.37, 323864.61, 32500.59, subproblem = 1, timelimit = 32400
1000_2: 222, 336462.22, 368610.22, 32484.57, subproblem = 1, timelimit = 32400
600_2: 139, 205943.56, 211244.27, 16875.98, subproblem = 1, timelimit = 18000
600_1: 139, 210658.62, 215812.21, 17241.05, subproblem = 1, timelimit = 18000
600_4: 129, 197929.76, 201306.90, 18013.41, subproblem = 1, timelimit = 18000
800_3: 166, 232052.94, 244010.43, 21723.70, subproblem = 1, timelimit = 25200
800_1: 178, 270951.52, 280903.46, 23268.07, subproblem = 1, timelimit = 25200
800_4: 172, 260642.67, 267303.51, 25225.15, subproblem = 1, timelimit = 25200
800_2: 181, 268047.17, 278252.06, 25214.92, subproblem = 1, timelimit = 25200
